title,url,webentity_type,classifications_sitpol,classifications_ddc,specific_agents,specific_actor_type,descriptions@lang=fr,keywords@lang=fr,keywords@lang=en,creators@role=pbl,languages,publication_countries,rec_type_cerimes,target_audiences_cerimes,rec_created_use,notes@lang=fr
Jean-Marc Ayrault sur Twitter,http://twitter.com/jeanmarcayrault,Page spécifique,vie politique:vie politique ; société:société ; administration publique:urbanisme ; administration publique:administration locale ; culture et communication:culture et communication,324 ; 944,"jean-marc ayrault ; françois hollande
",politician,"Page Twitter de Jean-Marc Ayrault, premier Ministre",Vie politique ;  gouvernement ; PS ; France,Politics ; Left-wing ; government ; PS ; France,Jean-Marc Ayrault,fre,FR,13,11,DG,
"Forum politique, économie et société - Fluctuat.net",http://forum.fluctuat.net/fluctuat/politique-economie-societe/liste_sujet-1.htm,Page spécifique,vie politique:vie politique ; société:société ; économie:crise financière,324 ; 944,,media,"Forum de la rubrique ""société"" de Fluctuat.net",vie politique ; société ; alternatives ; politique sociale ; économie politique ; élections ; France ,alternative politics ; society ; social issues ; political economics ; elections ; France,fluctuat.net,fre,FR,10,11,DG,
Politeeks,http://www.intox2007.info,Page d'accueil,vie politique:vie politique ; société:société ; économie:économie ; économie:crise financière,324 ; 944,,media,"""Blog politique de gauche qui démonte les intox, désinformations et commente l'actualité politique"".",Vie politique ; gauche ; Caricatures ; France,Politics ; Left ; France,Intox 2007,fre,FR,13,11,DG,
Inventer à gauche,http://www.inventeragauche.com,Page d'accueil,"vie politique:vie politique ; société:société ; économie:économie ; économie:crise financière ; europe:europe
",324 ; 944,michel rocard,think_tank,"""Cercle de réflexion réformiste, européen et inventif."" Analyser et comprendre pour proposer. Marier la réflexion des experts, la volonté des politiques et l'expérience du terrain. Rapports d'activité IAG ; Diners IAG",Vie politique ; Think Tank ; Centre gauche ; France ; Europe,Politics ; Think Tank ; Centre Left ; France ; Europe,Inventer à gauche,fre,FR,12,11,DG,Voir si le site continue d'être alimenté car les dernières contributions sont de juillet 2012
"Les murmures d'Eric Dupin : Chronique d'actualité, plus ou moins lapidaire et régulière",http://ericdupin.blogs.com/murmures/,Page d'accueil,vie politique:vie politique ; société:société ; politique sociale:politique sociale ; numérique:numérique ; économie:crise financière,324 ; 944,françois hollande,journalist,"Blog d’Éric Dupin, maître de conférence à l'IEP de Paris, spécialiste du traitement des données en sciences sociales et des sondages d'opinion. Chroniqueur aux ""Echos"" et collaborateur au ""Monde Diplomatique"", ancien journaliste à Libération et ancien rédacteur en chef du site ""Marianne"".",Vie politique ; médias ; sondages d'opinion ; données publiques ; numérique ; immigration ; politique économique ; élections ; France ,politics ; media ; France ; public data ; immigration,"Éric Dupin
",fre,FR,13,9,DG,
Démocratie et spiritualité,http://www.democratie-spiritualite.org,Page d'accueil,vie politique:vie politique ; société:société ; vie politique:citoyenneté,324 ; 944,,association,Association de personnes de la société civile qui se retrouvent autour d'une Charte qui vise à ouvrir un espace pour des débats et des pratiques essentiels pour l'avenir de nos sociétés. Agenda actualités ; publications; fonds documentaire ; la Lettre de D&S ; programme de méditations,Association ; Vie politique ; Débat public ; Spiritualité ; France,Association ; Politics ; Public Debate ; France ; Spirituality,Démocratie et Spiritualité,fre ; eng,FR,10,11,DG,
RTL (Politique),http://www.rtl.fr/actualites/politique,Page spécifique,vie politique:vie politique ; vie politique:campagne électorale,324 ; 944,,media,"Sur le site de RTL, cette page renvoie aux émissions politiques",Vie politique ; Élections ; France ; Médias,Politics ; Elections ; France ; Média ; News,RTL,fre,FR,12,11,ZM,
A perdre la raison,http://perdre-la-raison.blogspot.com,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ,324 ; 944,jean-luc mélenchon,activist,"Blog de Meclalex, observateur engagé de la vie politique.",Vie politique ; Citoyen ; France ,Politics ; Citizen ; France,Melclalex,fre,FR,13,11,DG,
Politicosphère,http://politicosphere.blog.lemonde.fr,,"vie politique:vie politique ; vie politique:campagne électorale 
",324 ; 944,,media,"L'institut d'étude Linkfluence et le service politique du Monde.fr observent et décryptent la vie des partis politiques sur la Toile, en vue de la présidentielle 2012.",Vie politique ; Partis politiques ; France ; Blogs ; Internet ; Cartographie,Politics ; Political Parties ; Campaign ; Blogs ; France ; Mapping,Le Monde.fr et LinkFluence,fre,FR,13,11,DG,
"Slovar, les nouvelles expressions libres",http://slovar.blogspot.com,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; économie:crise financière ; emploi:emploi ; emploi:conditions de travail ; politique sociale:politique sociale ; europe:europe ,324 ; 944,,activist,"Blog d'information et de commentaires sur la société, l'économie et la politique. ",Vie politique ; Société ; Gauche ,Politics ; Society ; Left-wing ; France,Slovar,fre,FR,13,11,DG,"Fait partie des ""Left blogs"""
Partageons mon avis,http://www.jegoun.net,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; économie:économie ; économie:finances publiques ; économie:crise financière ; politique sociale:politique sociale,324 ; 944,françois hollande,blogger,Blog personnel de Nicolas Jégou. Commente la vie politique et sociale française.,Vie politique ; Société ; Gauche ; Citoyen ; Élections ; France ,Politics ; Left ; Citizen ; Elections ; France ,Nicolas Jégou,fre,FR,13,11,DG,"Affilié aux ""Left blogs"""
"Politique.net

",http://www.politique.net,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; économie:finances publiques,324 ; 944,,media,"Lancé le 1er janvier 2007, politique.net fête son premier quinquennat. Commente l'actualité politique et économique.",Vie politique ; actualités ; économie ; élections ; France ,Politics ; News ; Economy ; Election ; France,politique.net,fre,FR,13,11,DG,
ToutMontebourg,http://twitter.com/toutMontebourg,Page spécifique,vie politique:vie politique ; vie politique:campagne électorale ; économie:mondialisation ; europe:europe,324 ; 944,arnaud montebourg,politician,Page de soutien à Arnaud Montebourg sur Twitter.,Vie politique ; Gauche ; PS ; France,Politics ; Left-wing ; PS ;  Arnaud Montebourg ; Activists ; France,Twitter,fre,FR,10,11,DG,
Le blog de Christiane Taubira,http://chtaubira.tumblr.com,Page spécifique,vie politique:vie politique ; vie politique:campagne électorale ; justice:justice ; société:discriminations ,324 ; 944,christiane taubira,politician,"Blog de Christiane Taubira, Ministre de la justice. ",Vie politique ;  PS ; Élections ; France ; Guyane,Politics ; PS ; Elections ; France ; French Guiana  ,Christiane Taubira,fre,FR,13,11,ZM,
Convention pour la 6e République,http://www.c6r.org,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; justice:justice ; société:droits de l’homme ; environnement:environnement ; emploi:conditions de travail ; administration publique:aménagement du territoire,324 ; 944,françois hollande ; jean-luc mélenchon ; éva joly,association,"La C6R est une machine à transformer la République. C’est-à-dire à imposer des réformes dont la classe politique conservatrice ne veut pas. La C6R n’aura plus de vocation d’être lorsqu’une nouvelle Constitution, rompant avec les travers de la 5ème, sera soumise aux Français par référendum.",Institutions politiques ; Politique judiciaire ; médias et politique ; justice sociale ; politique de l'environnement ; Elections ; 2012 ; France,,C6R,fre,FR,13,9,DG,
Razzy Hammadi,http://razzyhammadi.fr,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; politique sociale:logement ; politique sociale:santé ; société:jeunesse ; société:inégalité sociale ; éducation:éducation,324 ; 944,razzy hammadi ; françois hollande,politician,Site officiel du Secretaire national du PS chargé des services publics,Vie politique ; Services publics ; Primaires ; PS ,Politics ; Public Services ; Primary ; PS,Razzy Hammadi,fre,FR,10,11,DG,
Raoult : Éric Raoult sur Twitter,https://twitter.com/EricRaoult,Page spécifique,vie politique:vie politique ; vie politique:campagne électorale ; société:banlieues ,324 ; 944,éric raoult,politician,"Député maire UMP du Raincy, il a été ministre chargé de l'Intégration et de la lutte contre l'exclusion du 18 mai au 7 novembre 1995 puis ministre délégué à la Ville et à l'Intégration de cette date au 2 juin 1997.",Vie politique ;  UMP ; Villes ; Banlieues ; Intégration sociale ,Politics ; Right ; urban policy ; suburbs ; social integration ; France,Eric Raoult ; Twitter,fre,FR,13,11,DG,
Piratage(s),http://piratages.wordpress.com,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; société:discriminations ; culture et communication:culture et communication,324 ; 944,,,"""Magazine collectif sans ambition politique""",Vie politique ; Médias ; Société ; Élections ; France,Politics ; Media ; Society ; Elections ; France,Piratage(s),fre,FR,13,11,DG,
"Trop libre : une voix libérale, progressiste et européenne",http://www.trop-libre.fr,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; société:jeunesse ; environnement:environnement ; société:société ; économie:économie ; administration publique:service public ; numérique:données publiques,324 ; 944,,think_tank,"Blog de Fondapol, Fondation pour l'innovation politique. Il est animé par Christophe de Voogd, professeur agrégé d’histoire à Sciences Po Paris et David Valence, également professeur agrégé d’histoire et enseignant à Sciences Po Paris.",Vie politique ; économie politique ; libéralisme ; France ; Union européenne,politics ; think tank ; research ; liberalism ; France,Trop libre,fre,FR,13,9,DG,
Sarkofrance - Saison 2,http://sarkofrance.blogspot.com,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; société:société ; économie:économie ; politique sociale:politique sociale,324 ; 944,nicolas sarkozy,blogger,Blog personnel. Commentaires de l'actualité politique française et plus particulièrement les actions et le comportement du président Nicolas Sarkozy.,Vie politique ; Président ; Nicolas Sarkozy ; France,Politics ; President ; Nicolas Sarkozy ; France,JuanaSarkofrance,fre,FR,13,11,DG,"Aime le groupe ""Anti Sarko"" sur Facebook"
NosDéputés.fr,http://www.nosdeputes.fr,Page spécifique,vie politique:vie politique ; vie politique:citoyenneté ; numérique:données publiques,324 ; 944,,association,"Observatoire de l’activité des députés à l’Assemblée Nationale. Initiative de ""Regards Citoyens""",Vie politique ; Parlement ; Assemblée nationale ; Données publiques ; France,Politics ; Parliament ; Public Data ; France,Regards Citoyens,fre,FR,13,11,DG,
NosSénateurs.fr,http://www.nossenateurs.fr,Page spécifique,vie politique:vie politique ; vie politique:citoyenneté ; numérique:données publiques,324 ; 944,,association,"A l'initiative de l'association ""Regards Citoyens"" et dans la droite ligne de ""NosDéputés.fr"", ce site référence une grande masse d’informations relatives aux travaux parlementaires du Sénat français.",Vie politique ; Parlement ; Sénat ; Données publiques ; France,Politics ; Parliament ; Public Data ; France,Regards Citoyens,fre,FR,13,11,DG,
France-Inter (politique),http://www.franceinter.fr/politique,Page spécifique,vie politique:vie politique ; vie politique:droit de vote des étrangers ; administration publique:administration publique,324 ; 944,,media,"Sur le site de France-Inter, cette page renvoit aux émissions d'actualités politiques",Vie politique ; Élections ;  France ; Médias,Politics ; Elections ; France ; Media ; News,France-Inter,fre,FR,12,11,ZM,
Liberté politique.com,http://www.libertepolitique.com,Page d'accueil,vie politique:vie politique ; vie politique:identité nationale ; société:laïcité et religion ; société:immigration ; économie:crise financière ; europe:europe ; société:bioéthique,324 ; 944,françois bayrou ; nicolas dupont-aignan,association,"""Fondée en 1992 par de jeunes responsables de la société civile, l’Association pour la Fondation de Service politique (AFSP) est un mouvement de laïcs chrétiens au service du bien commun. Elle propose un engagement original et novateur : servir son pays en dehors des partis à travers des actions militantes et une réflexion politique cohérentes avec la doctrine sociale de l’Église"" [sensibilité ""La Manif pour tous""] .",Droits de l'homme ; libertés ; immigration ; Religion ; catholiques ; France ; Union européenne ; relations internationales,Human rights ; civic rights; immigration ; religion ; catholics ; international relations ; France ; European Union,Liberté politique,fre,FR,13,11,DG,
"La Riposte, journal communiste",http://www.lariposte.com,Page d'accueil,vie politique:vie politique ; vie politique:souveraineté ; économie:crise financière ; politique sociale:politique sociale ; europe:europe ,324 ; 944,jean-luc mélenchon ; andré chassaigne,media,"Le site internet de La Riposte et le journal du même nom sont animés par des militants du Parti Communiste Français et de la Jeunesse Communiste. Notre objectif est de défendre les principes, la théorie et le programme du marxisme. La Riposte fait partie intégrante du PCF.",Vie politique ; PCF ; communisme ; marxisme ; économie politique ; France ; europe ; élections ; 2012,"Politics ; communism ; marxism ; political economy ; workers movement ; France ; Europe ; Elections , 2012",La riposte,fre,FR,10,11,DG,
Rassemblement pour l'Indépendance de la France ,http://r-i-f.org,Page d'accueil,vie politique:vie politique ; vie politique:souveraineté ; europe:europe ; économie:mondialisation ; économie:crise financière,324 ; 944,paul-marie couteaux ; christian vanneste,political_party,Site du RIF,Vie politique ; Elections ; Extreme Droite  ; France ; Europe,Politics ; President Election ; Right-wing extremists ;  France ; Europe,Rassemblement pour l'Indépendance et la Souveraineté de la France ,fre,FR,12,11,ZM,
Gaullisme.fr : la France ne peut être la France sans grandeur,http://www.gaullisme.fr,Page d'accueil,vie politique:vie politique ; vie politique:souveraineté ; europe:europe ; vie politique:citoyenneté,324 ; 944,nicolas dupont-aignan ; jean-pierre chevènement ; charles de gaulle,politician,"Site créé par Alain KERHERVE. Commente l'actualité politique et sociale française et internationale. La Ve République sous Charles de Gaulle : documents, archives, textes constitutionnels. ",Vie politique ; Gaullisme ; Droite ; Élections ; France,Politics ; Gaullism ; Right ; Elections ; France,Gaullisme.fr,fre,FR,13,11,DG,
FranceTVinfo : Politique,http://www.francetvinfo.fr/politique/,Page spécfiique,,324 ; 944,,media,Page du site de FranceTV info consacrée à la campagne électorale 2012,Vie politique ; Élections ;  France ; Médias,Politics ; Elections ; France ; Media ; News,France Télévisions,fre,FR,12,11,ZM,Non mis à jour mais toujours disponible en ligne
Argenteuillais démocrate ... sans frontières,http://demsf.free.fr/index.php?,Page d'accueil,vie politique:campagne électorale ; europe:europe,324 ; 944 ,françois bayrou,activist,"Blog de Frédéric LN, consultant pour connecter ou reconnecter les organisations ;  ""conseiller pour les études et le projet"" dans la campagne présidentielle de François Bayrou en 2007. A lancé France démocrate en octobre 2007. Investi par le Modem pour le canton d'Argenteuil Nord en 2011.",Vie politique ; Politique sociale ; Ile-de-France ; Modem ; Enjeux ; Elections ; France,Politics ; Centre ; Modem ; Social policy ; Issues ; Elections ; France,Argenteuil démocrate,fre,FR,13,11,DG,
François Desouche,http://www.fdesouche.com,Page d'accueil,vie politique:vie politique ; société:société ; vie politique:identité nationale ; société:laïcité et religion ; société:bioéthique ; société:discriminations ,324 ; 944 ; 300,pierre sautarel ; marine le pen,activist,Blog personnel qui milite pour une certaine idée de la France et de la laïcité. Accueille des témoignages de personnes partageant cette ligne. ,Identité nationale ; France ; Multiculturalisme ; Laïcité ; Immigrés,National Identity ; Multiculturalism ; Migrants ; Secularism ; France,François Desouche,fre,FR,13,11,DG,Attention à ce descriptif du site A mon avis il faut le revoir ZM
Alain Lipietz,http://lipietz.net,Page d'accueil,environnement:environnement ; économie:économie ; europe:europe,324 ; 944 ; 333,nicolas hulot ; alain lipietz,politician,"Site d'Alain Lipietz, député européen (Verts, France).",Vie politique ; Elus ; France ; Europe ; Ecologie politique  ; Elections,Politics ; France ; Europe ; Environmental Policy ; Green movement ; Elections,Alain Lipietz,fre,FR,10,11,ZM,
Les Jeunes Écologistes,http://www.jeunes-ecologistes.org,Page d'accueil,vie politique:campagne électorale ; environnement:environnement  ;société:jeunesse ; économie:économie ; emploi:emploi,324 ; 944 ; 333,éva joly,political_party,Site des Jeunes Ecologistes (nom adopté en 2011),Vie politique ;  Élections ; Écologie politique ; Jeunesse ; France,"Politics ;  Environmentalism ;
Green movement President Election ;  Youth ; France",Jeunes Ecologistes,fre,FR,12,11,ZM,
Jean Glavany,http://jean.glavany.free.fr,Page d'accueil,société:laïcité et religion ; éducation:éducation ; relations internationales:relations internationales ; europe:europe,324 . 944,jean glavany ; martine aubry,politician,"Blog de Jean Glavany, ancien ministre, député PS des Hautes Pyrénées. ",Vie politique ; Elus ; PS ; Politiques publiques ; relations internationales ; Laïcité ; Europe,Politics ; MP ; PS ; Left-wing ; secularism ; International relations ; Europe,"Jean Glavany
",fre,FR,13,11,DG,
Plume de presse : le blog sabre au clair d'un journaliste engagé,http://www.plumedepresse.net,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; économie:crise financière ; politique sociale:politique sociale,324 . 944,jean-luc mélenchon,journalist,"Blog du journaliste Olivier Bonnet, docteur en droit et sciences politique, formé à l'""Événement du jeudi"". Il est aussi l'auteur de l'essai ""Sarkozy la grande manipulation"".",Actualités ; Vie politique ; Gauche ; France ; Élections ; 2012,News ; Politics ; Left ; France,Olivier Bonnet,fre,FR,13,11,DG,
Blog de Jean-Luc Mélenchon (Le),http://www.jean-luc-melenchon.fr,Page d'accueil,politique sociale:politique sociale ; vie politique:souveraineté ; europe:europe ; vie politique:campagne électorale,324 944 ; 940,jean-luc mélenchon,politician,"Blog du dirigeant du Parti de Gauche, candidat du Front de Gauche à l'élection présidentielle de 2012. Agenda ; vidéos ; sessions plénières du Parlement européen.",Vie politique ; Gauche ; Politiques publiques ; Candidats ; Élection présidentielle ; Front de Gauche ; France ; Union européenne,Politics ; Left-wing ; Public policy ; Elections ; Front de Gauche ; France ; European Union,Jean Luc Mélenchon ; Gauche Unitaire européenne,fre,ZZ,13,11,DG,
Europe écologie - Les Verts (EELV),http://www.eelv.fr,Page d'accueil,environnement:environnement ; administration publique:urbanisme ; vie politique:vie politique,324.344,éva joly,political_party,"Actualités, le projet, présentation de rassemblement, les statuts, le réseau, les élus, l'activité générale.",Partis politiques ; Écologie politique ; France,Political parties ; Parliament European Union,Europe Ecologie Les Verts ,fre,FR,12,11,OD,
Parti communiste français (PCF),http://www.pcf.fr,Page d'accueil,"administration publique:service public ; économie:crise financière ; économie:finances publiques ; vie politique:vie politique ; politique sociale:politique sociale ; éducation:éducation ; europe:europe

",324.944,"jean-luc mélenchon ; pierre laurent
",political_party,"L'activité, le programme et les orientations du Parti. L'actualité sur la politique l'économie et le social. Ses statuts, son organigramme, son fonctionnement; Ses liens avec le Front de gauche.",Partis politiques ; Gauche ; communisme ; France  ; Élections ,Political parties ; Communism ; Left ; France ; Elections,Parti communiste français ,fre,FR,12,11,OD,
Ministre délégué à la Ville ,http://www.ville.gouv.fr,Page d'accueil,administration publique:urbanisme ; administration publique:administration locale,324.944,,institution,"Activités du ministère, informations diverses, définitions et mises en oeuvres des politiques de la ville",Ville ; Politique urbaine ; France,Urbzn policy ; Towns ; France,Ministère de la Ville,fre,FR,12,10,OD,
Ministre de la Culture et de la Communication ,http://www.culture.gouv.fr,Page d'accueil,culture et communication:culture et communication,324.944,,institution,"Attributions et activités du ministère, la mise en oeuvre de la politiques culturelle, la protection du patrimoine, la diffusion de l'Art. La communication et les média",Culture ; Communication; Patrimoine ; France,Culture ; Communication ; Heritage,Minstère de la Culture et de la Communication,fre,FR,12,10,OD,
"Ministre de l’Agriculture, de l’Agroalimentaire et de la forêt",http://agriculture.gouv.fr,Page d'accueil,économie:agriculture et pêche  ; europe:europe,324.944,,institution,"Le ministre de l’Agriculture, de l’Alimentation, de la Pêche, de la Ruralité et de l’Aménagement du territoire prépare et met en œuvre la politique du Gouvernement dans le domaine de l'agriculture, des affaires rurales, de la pêche maritime et des cultures marines, de la forêt et du bois. Informations diverses.",Agriculture ; Alimentation ; Pêche ; Forêt ; Aménagement du territoire,Agriculture ; Food ; Fishing ; Forest ; Land planning,Ministère de l'agricullture,fre,FR,12,10,OD,
Centre national des indépendants et paysans (CNIP),http://www.cni.asso.fr,Page d'accueil,économie:agriculture et pêche ; environnement:environnement ; vie politique:identité nationale ; europe:europe,324.944,gilles bourdouleix,political_party,"Le projet, la charte, l'équipe dirigeante, l'actualité.",Partis politiques ; Droite ; France,Political parties ; Right ; France, Centre National des indépendants et Paysans ,fre,FR,12,11,OD,
Le blog de SuperNo,http://www.superno.com/blog/,Page d'accueil,économie:crise financière ; économie:mondialisation ; environnement:environnement ; numérique:numérique ; politique sociale:politique sociale ; société:inégalité sociale ; vie politique:campagne électorale ; europe:europe,324.944,jean-luc mélenchon,activist,"Blog d'un informaticien de Moselle, créé à l'occasion de l'élection présidentielle de 2007. Outre son commentaire militant et citoyen sur la vie politique et la protection de l'environnement, les sujets traités portent sur le numérique, l'automobile et la région Lorraine.",Vie politique ; Front de gauche ; économie politique ; protection de l'environnement ; politique sociale ; numérique ; élection présidentielle ; France ; Union européenne,Political parties ; Left-wing extremists; France,SuperNo,fre,FR,13,11,DG,
Ministre de l’Enseignement supérieur et de la Recherche ,http://www.enseignementsup-recherche.gouv.fr,Page d'accueil,éducation:enseignement supérieur et recherche,324.944,,institution," Le ministre de l’enseignement supérieur et de la recherche prépare et met en œuvre la politique du Gouvernement relative au développement de l’enseignement supérieur. 
Il propose et, en liaison avec les autres ministres intéressés, met en œuvre la politique du Gouvernement dans le domaine de la recherche et de la technologie. Il est compétent en matière de politique de l’espace. Le site comporte diverses informations concernant l'activité du ministère

",Enseignement supérieur ; Recherche ; France,Higher Education ; Research ; France,Ministère de l'enseignement supérieur et de la Recherche,fre,FR,12,10,OD,
"Ministre de l'Écologie, du Développement durable et de l'énergie",http://www.developpement-durable.gouv.fr,Page d'accueil,environnement:développement durable ; politique sociale:logement,324.944,,institution,"Activités du ministère, informations diverses, définitions et mises en oeuvres des politiques définies dans les domaines",Politique de l'environnement ; Développement durable ; Transports ; Logement ; France,Environment Policy ; Sustainable Development ; Transport ; Housing ; France,Ministère du développement durable,fre,FR,12,10,OD,
Brest-ouvert,http://brest-ouvert.net,Page d'accueil,environnement:environnement,324.944,éva joly,political_party,"Lancé par les élu-e-s Europe Ecologie Les Verts de Brest, Brest-ouVert.net est un site d’information et de débat public ouvert à chacun-e selon la charte",Vie politique ; écologie politique ; France,Political parties ; green movement ; France,Brest-ouvert,fre,FR,13,11,DG,
Ministère de la Justice ,http://www.justice.gouv.fr,,justice:justice,324.944,,institution,"Il est responsable de l'action et de la gestion des juridictions, nomme les officiers ministériels et présente au Parlement des projets de réforme.Le ministre de la Justice conduit la politique d'action publique déterminée par le Gouvernement. Il veille à la cohérence de son application sur le territoire de la République. Activités et informations diverses sur le ministère",Justice ; Libertés ; France,Law ; Justice Department ; France,Ministère de la Justice,fre,FR,12,10,OD,
"Elysée, Présidence de la République",http://www.elysee.fr,Page d'accueil,relations internationales:relations internationales,324.944,françois hollande,institution,Pouvoir et attributions du Président de la République. Informations diverses sur l'activité de la Présidence.,Présidents de la République ; France,Politics ; President ; France,Présidence de la République,fre,FR,12,10,OD,
Christine Boutin sur Twitter ,https://twitter.com/christineboutin,Page spécifique,société:bioéthique ; société:société ; politique sociale:politique sociale ; vie politique:identité nationale ,324.944,christine boutin,politician,Page Twitter de Christine Boutin Présidente du Parti Chrétien-Démocrate - Candidate à l'élection présidentielle de 2012 (Compte officiel),Vie politique ; Centre droit ; Élections; France ; Démocratie chrétienne,Politics; Elections ; France ; Christian democracy,Christine Boutin,fre,FR,13,11,ZM,
Philippe de Villiers sur Facebook,https://www.facebook.com/PhilippedeVilliers,Page spécifique,société:laïcité et religion ; vie politique:identité nationale ,324.944,philippe de villiers,politician,Page Facebook,Vie politique ; France ; Élections ; Droite,Politics ; Elections ; Right,Philippe de Villiers,fre,FR,13,11,ZM,
Debout la République (DLR),http://www.debout-la-republique.fr,Page d'accueil,société:société ; économie:crise financière ; europe:europe ; vie politique:souveraineté,324.944,nicolas dupont-aignan,political_party,"L'actualité, le programme, les statuts, présentation du Parti, les dirigeants, le fonctionnement.",Partis politiques ; Droite ; Elections ; France,Political parties ; Right ; Elections ; France,Debout la République ,fre,FR,12,11,OD,
La maison du faucon,http://falconhill.blogspot.com,Page d'accueil,société:société ; vie politique: vie politique,324.944,,blogger,Blog personnel avec prise de position sur la vie politique française,vie politique ; société ; France,politics ; society ; France,FalconHill,fre,FR,13,11,DG,
Le Journal de personne,http://www.lejournaldepersonne.com,Page d'accueil,société:société ; vie politique: vie politique ; culture et communication:culture et communication ,324.944,,blogger,"Le Journal de Personne pratique la scénarisation à fond, pour illustrer une question d'actualité. Son info est une info scénario, son drame: une dramatisation et sa réalité: une réalisation",vie politique ; médias ; société ; France,politics ; media ; society ; France,lejournaldepersonne,fre,FR,13,11,DG,
Public Sénat : la politique c'est net,http://www.publicsenat.fr/emissions/la_politique_c%27est_net,Page spécifique,vie politique:campagne électorale,324.944,,media,"Tous les vendredis, Caroline Deschamps revisite l'actualité du web politique et des réseaux sociaux. Son club de «gazouilleurs-twitteurs» (chroniqueurs, responsables webs des candidats, twittos-blogueurs etc) réagit aux vidéos qui marquent l'actualité politique.",actualités ; vie politique ; internet ; réseaux sociaux,news ; politics ; internet ; social media,Public Sénat,fre,FR,12,11,ZM,
Mouvement démocrate (MoDem),http://www.mouvementdemocrate.fr,Page d'accueil,vie politique:campagne électorale ; économie:entreprise ; économie:crise financière ; emploi:emploi  ; éducation:éducation ; énergie:nucléaire ; europe:europe ,324.944,françois bayrou,political_party,"Les statuts du Parti (Modem), ses orientations, son fonctionnement et réglement, le programme politique, les différentes organisations associées, le shadow cabinet",Partis politiques ; Centre ; Elections ;  France,Political party ; Modem ; Centre ; Elections ;  France,Mouvement démocrate (MoDem),fre,FR,12,10,OD,
Lutte ouvrière (LO),http://www.lutte-ouvriere.org,Page d'accueil,vie politique:campagne électorale ; économie:entreprise ; économie:crise financière ; emploi:emploi ; politique sociale:politique sociale ; europe:europe,324.944,nathalie arthaud,political_party,"Activtés, fonctionnement, statuts, présentation de l'organisation",Partis politiques ; extrême-gauche ; France,Political parties ; Left-wing extremists; France,Lutte Ouvrière,fre,FR,12,11,DG,
Nouveau Parti Anticapitaliste (NPA),http://www.npa2009.org,Page d'accueil,vie politique:campagne électorale ; économie:mondialisation ; économie:finances publiques ; emploi:emploi ; société:inégalité sociale ; société:discriminations ; administration publique:service public ; politique sociale:retraite ; éducation:éducation ; société:jeunesse ,324.944,philippe poutou,political_party,"Les propositions pour une autre société, le projet, le fonctionnement et les statuts, l'actualité.",Partis politiques ; Extrême-gauche ; France,Political Parties ; Left-wing extremists ; France,Nouveau Parti Anticapitaliste ,fre,FR,12,11,OD,
La Gauche Moderne,http://www.lagauchemoderne.com,Page d'accueil,vie politique:campagne électorale ; éducation:éducation; emploi:emploi ; sécurité et défense:sécurité et défense ; énergie:nucléaire ; europe:europe,324.944,jean-marie bockel ; nicolas sarkozy ,political_party,"Le parti, ses statuts, sa charte éthique, Informations et actualités",Partis politiques ; Centre gauche ; France,Political parties; Politics ; Centre Left ; France,La gauche moderne,fre,FR,12,11,OD,
Liberté d'expression - Yvan Rioufol,http://blog.lefigaro.fr/rioufol/,Page spécifique,vie politique:campagne électorale ; société:discriminations ; société:laïcité et religion ,324.944,,journalist,Blog d'Yvan Rioufol au Figaro. Ce blog veut être celui de la liberté de la parole et de la confrontation des idées. ,Vie politique ; Droite ; Libéralisme ; France,Politics ; Liberalism ; Right ; France,Le Figaro ; Yvan Rioufol,fre,FR,13,11,DG,
Parti de Gauche (PG),http://www.lepartidegauche.fr,Page d'accueil,vie politique:campagne électorale ; société:inégalité sociale ; économie:économie ; économie:mondialisation ; europe:europe ; politique sociale:politique sociale ; environnement:environnement,324.944,jean-luc mélenchon,political_party,"Le fonctionnement, l'organigramme, les orientations, le programme politique",Partis politiques ; Gauche ; France ;  Élections ,Political parties ; Communism ; Left ; France ; Elections,Parti de gauche,fre,FR,12,10,OD,
Marine Le Pen sur Twitter,https://twitter.com/MLP_officiel,Page spécifique,vie politique:campagne électorale ; vie politique:identité nationale ; économie:crise financière ; société:immigration ; europe:europe ; numérique:numérique,324.944,marine le pen,politician,Page Twitter de Marine Le Pen,Front National ; Extrême droite ; Élections ; France,National Front ; Right-wing extremists ; Elections ; France,Marien Le Pen,fre,FR,13,11,ZM,
Nicolas Dupont-Aignan sur Twitter,https://twitter.com/dupontaignan,Page spécifique,vie politique:campagne électorale ; vie politique:souveraineté ; économie:mondialisation ; économie:entreprise ; europe:europe,324.944,nicolas dupont-aignan,politician,Page Twitter de Nicolas Dupont-Aignan,Vie politique ; France  ; droite ; Élections,Politics ; Right ; Elections ; France,Nicolas Dupont-Aignant,fre,FR,13,13,ZM,
